"module","file","coverage_percent","uncovered_functions"
"Authentication and authorization","backend/modules/auth/handler/converter/user.go","0","ToServiceFromRegisterInput"
"Authentication and authorization","backend/modules/auth/handler/login.go","0","Login"
"Authentication and authorization","backend/modules/auth/handler/model/user.go","0",""
"Authentication and authorization","backend/modules/auth/handler/register.go","0","Register"
"Authentication and authorization","backend/modules/auth/handler/server.go","0","NewHandler"
"Authentication and authorization","backend/modules/auth/jwt/jwt.go","84.78",""
"Authentication and authorization","backend/modules/auth/middleware/auth.go","100",""
"Authentication and authorization","backend/modules/auth/middleware/server.go","100",""
"Authentication and authorization","backend/modules/auth/model/errors.go","0",""
"Authentication and authorization","backend/modules/auth/model/user.go","0",""
"Authentication and authorization","backend/modules/auth/repository/user/converter/user.go","0","ToUserFromRepo; ToUserInfoFromRepo; ToAuthUserFromRepo"
"Authentication and authorization","backend/modules/auth/repository/user/model/user.go","0",""
"Authentication and authorization","backend/modules/auth/repository/user/reposotiry.go","0","NewRepository; Create; GetById; GetByPhoneNumber; Delete; Update"
"Authentication and authorization","backend/modules/auth/routes.go","0","RegisterRoutes"
"Authentication and authorization","backend/modules/auth/service/auth/register.go","80.95",""
"Authentication and authorization","backend/modules/auth/service/auth/service.go","100",""
"Cart management","backend/modules/cart/client/order/order.go","0","NewClient; CreateOrder; cartToOrder; cartProductListToOrderProductList"
"Checkout and payment initiation","backend/modules/cart/client/payment/converter/checkout.go","0","ToServiceCheckoutFromClient"
"Checkout and payment initiation","backend/modules/cart/client/payment/model/model.go","0","SetSignature; generateSignature"
"Checkout and payment initiation","backend/modules/cart/client/payment/payment.go","0","NewPaymentClient; PaymentRequest; mockCheckoutResponse"
"Cart management","backend/modules/cart/client/supplier/supplier.go","0","NewClient; SupplierListByIDList"
"Cart management","backend/modules/cart/handler/cart.go","0","AddProductToCard; GetCart; DeleteProductFromCart; ClearCart"
"Checkout and payment initiation","backend/modules/cart/handler/checkout.go","0","Checkout; CartPaymentCallback; MockCheckoutSuccess"
"Cart management","backend/modules/cart/handler/converter/add-product.go","0","ToServiceCardInputFromAPI; ToAPIGetCartFromService; ToAPISuppliersFromService; ToAPIProductsFromService"
"Cart management","backend/modules/cart/handler/converter/checkout.go","0","ToAPICheckoutFromService; ToServiceCheckoutFromApi"
"Cart management","backend/modules/cart/handler/model/checkout.go","0",""
"Cart management","backend/modules/cart/handler/model/put-card-input.go","0",""
"Cart management","backend/modules/cart/handler/server.go","0","NewHandler"
"Cart management","backend/modules/cart/model/cart.go","0",""
"Cart management","backend/modules/cart/model/checkout.go","0",""
"Cart management","backend/modules/cart/model/errors.go","0",""
"Cart management","backend/modules/cart/redis/payment-order.go","0","SavePaymentOrder; PaymentOrder; PaymentOrdersByPrefix"
"Cart management","backend/modules/cart/redis/redis.go","0","NewCartRedis"
"Cart management","backend/modules/cart/repository/cart.go","0","CreateCart; Cart; UpdateCartTotal; GetCartItems; DeleteCart"
"Cart management","backend/modules/cart/repository/converter/cart.go","0","ToServiceCartFromRepo; ToServiceSupplierFromRepo"
"Cart management","backend/modules/cart/repository/item.go","0","ItemQuantity; UpdateItemQuantity; AddItem; DeleteCartItems; DeleteItem"
"Cart management","backend/modules/cart/repository/model/get-cart.go","0",""
"Cart management","backend/modules/cart/repository/repository.go","0","NewRepository"
"Cart management","backend/modules/cart/routes.go","0","RegisterRoutes; RegisterPublicRoutes; RegisterRoutesCallback"
